Data;0-1H;1-2H;2-3H;3-4H;4-5H;5-6H;6-7H;7-8H;8-9H;9-10H;10-11H;11-12H;12-13H;13-14H;14-15H;15-16H;16-17H;17-18H;18-19H;19-20H;20-21H;21-22H;22-23H;23-24H;TOTAL;MÉDIA
01/01/2019;0;0;0;0;0;0;0;0;13;1;0;1;0;0;2;0;0;0;0;0;0;0;0;0;17;1
02/01/2019;0;0;0;0;0;0;28;41;246;582;851;1019;1062;1167;1045;1168;1276;1302;1366;1232;813;493;215;16;13922;580
03/01/2019;0;0;0;0;0;0;44;78;313;699;887;1041;1247;1388;1067;1081;1235;1186;1472;1182;830;486;216;19;14471;603
04/01/2019;87;0;0;0;14;0;17;49;338;701;861;949;1144;1375;1054;1118;1330;1347;1455;1264;919;598;329;91;15040;627
05/01/2019;173;0;0;0;0;0;60;13;463;616;971;1307;1144;1066;1123;1345;1330;1359;1217;1122;805;561;294;104;15073;628
06/01/2019;392;0;0;0;0;0;27;16;183;427;856;1050;1026;921;1106;1218;1466;1264;1036;978;731;520;175;10;13402;558
07/01/2019;0;0;0;0;0;52;15;51;311;678;863;1013;1151;1431;1098;1158;1247;1449;1596;1265;832;580;264;20;15074;628
08/01/2019;0;0;0;0;0;0;21;30;349;650;891;1022;1104;1243;999;1053;1084;1440;1380;1287;843;541;238;15;14190;591
09/01/2019;3;0;0;0;0;0;34;38;342;649;856;910;1129;1191;1057;1089;1225;1280;1364;1269;874;565;230;19;14124;589
10/01/2019;0;0;0;0;0;0;36;56;330;621;832;897;1197;1262;960;994;1121;1214;1331;1159;866;537;235;21;13669;570
11/01/2019;24;0;0;0;1;1;14;37;417;664;981;1082;1260;1376;1164;1285;1224;1378;1327;1153;852;610;290;102;15242;635
12/01/2019;58;0;0;0;0;0;192;6;348;691;1039;1320;1170;1086;1136;1234;1245;1200;1192;1075;749;549;275;77;14642;610
13/01/2019;43;0;0;0;0;0;21;15;229;503;958;1171;1118;913;1160;1468;1378;1407;1146;1017;796;431;202;12;13988;583
14/01/2019;0;0;0;0;0;2;28;33;325;625;857;903;1031;1282;968;1073;1067;1345;1381;1113;821;467;209;11;13541;564
15/01/2019;0;0;0;0;0;0;58;59;339;655;762;916;1086;1120;955;959;1079;1193;1262;1106;798;462;186;11;13006;542
16/01/2019;0;0;0;0;0;1;25;25;2061;1075;815;846;936;1191;1068;1020;1218;1150;1209;1046;751;462;216;120;15235;635
17/01/2019;61;0;0;0;0;0;47;66;446;769;880;995;1093;1318;995;1106;1118;1249;1375;1156;912;500;246;30;14362;598
